bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-067534_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2749	0.0701	0.0304	0.0027	0.5279	0.6131	0.6705	0.0	0.0	413.1035	68.1191	24.9843	14.7302	107	97.27272727272727	0.9443	41.5129	5.7044	2.146	3.77	3.86	3.86	2.18	1.04	73.81	504.08	470.57	411.01	81.8392	2.9652	11.3762	7.0	481754.0	4.0	34.0	15.9961	41.675	44.4781	152.9609	142.0	167206.0	61.0	263.0	75.6226	57.1199	37.0651	147.7375	142.0	46803.0	70.0	230.0	60.9135
sub-112188_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2607	0.0868	0.0621	0.0012	0.5036	0.5961	0.6485	0.0	0.0	486.1058	84.279	31.2336	18.1243	107	97.27272727272727	0.9222	33.3585	5.3784	1.9809	4.46	4.63	4.63	2.7	1.21	81.19	572.55	502.62	540.45	84.103	2.9652	9.9456	6.0	496228.0	3.0	32.0	13.0585	31.5305	42.9955	146.4302	135.0	152732.0	51.0	262.0	75.4561	12.2599	32.6172	139.9074	134.0	38623.0	83.0	216.0	46.8447
sub-193847_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.284	0.1297	0.1243	0.0199	0.5368	0.6066	0.6489	0.0	0.0	461.8657	87.4369	31.0435	23.1863	107	97.27272727272727	0.8853	44.4781	5.5723	1.9809	3.83	3.93	3.93	2.02	0.98	97.3	785.26	743.01	637.94	49.2554	2.9652	10.4901	6.0	468012.0	3.0	33.0	13.874	30.5289	44.4781	157.0984	145.0	180948.0	67.0	269.0	74.3609	7.7009	37.0651	155.9079	149.0	50840.0	98.0	237.0	48.9492
sub-205693_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2628	0.0532	0.0358	0.003	0.539	0.6114	0.6622	0.0	0.0	465.0299	90.1007	32.8576	11.351	107	97.27272727272727	0.9577	34.0999	5.6874	1.9809	5.0	5.14	5.14	3.21	1.29	80.62	525.93	435.61	489.17	119.5391	2.9652	10.888	6.0	473887.0	3.0	34.0	15.5373	32.6014	42.9955	157.108	147.0	175073.0	69.0	261.0	69.5755	13.2512	37.0651	155.2633	148.0	49366.0	91.0	239.0	51.0658
sub-275592_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.3904	0.1753	0.1665	0.0122	0.5509	0.6009	0.6444	0.0	0.0	471.4912	81.5909	28.8562	23.4824	108	98.18181818181819	0.6189	20.7564	5.2296	1.9809	7.65	7.82	7.82	4.5	2.3	89.37	643.94	623.54	475.73	134.5165	2.9652	10.0639	6.0	456389.0	2.0	34.0	14.3331	28.9327	44.4781	140.0216	130.0	192571.0	53.0	244.0	67.0857	5.5405	35.5825	136.5658	131.0	54525.0	76.0	215.0	44.8924
sub-279828_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.3256	0.1633	0.1727	0.0108	0.5353	0.6019	0.6519	0.0	0.0	386.1958	74.5497	27.3211	26.2696	107	97.27272727272727	0.926	28.1694	5.6402	1.9809	5.22	5.31	5.31	2.73	1.52	87.82	642.48	518.65	556.41	64.1873	2.9652	11.1611	6.0	470001.0	3.0	35.0	14.2764	52.5434	45.9607	147.0264	135.0	178959.0	60.0	261.0	77.2305	4.0604	34.0999	139.9651	134.0	45726.0	84.0	214.0	42.9528
sub-291670_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.248	0.1016	0.096	0.004	0.5591	0.6083	0.6447	0.0	0.0	521.0253	89.4512	33.8429	17.2566	107	97.27272727272727	0.9694	40.0303	5.3672	1.9809	3.58	3.69	3.69	2.12	1.11	90.87	626.46	614.8	527.0	56.6946	4.4478	13.2106	6.0	452086.0	2.0	44.0	25.3326	32.962	47.4433	151.2263	140.0	196874.0	63.0	264.0	73.9564	19.2262	38.5477	141.1483	134.0	55681.0	73.0	224.0	51.909
sub-317132_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.3099	0.1168	0.1158	0.0014	0.529	0.6033	0.6514	0.0	0.0	457.0935	93.6425	33.3596	19.7287	107	97.27272727272727	0.9427	25.2042	5.2716	1.9809	6.19	6.31	6.31	3.77	1.55	86.73	627.91	527.39	563.14	84.3636	2.9652	10.699	6.0	476881.0	3.0	35.0	14.9795	44.0166	42.9955	154.274	143.0	172079.0	65.0	261.0	74.3739	42.1017	31.1346	145.9593	138.0	44841.0	93.0	223.0	48.0061
sub-351677_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2415	0.0859	0.0756	0.0074	0.5746	0.6252	0.6604	0.0	0.0	408.2077	76.9215	29.5239	16.9275	107	97.27272727272727	0.9215	31.1346	5.0981	1.9809	4.57	4.71	4.71	2.71	1.35	84.85	613.34	584.21	490.01	31.5053	4.4478	13.7945	6.0	455506.0	3.0	51.0	19.7107	33.6975	45.9607	141.4253	132.0	193454.0	53.0	244.0	67.9918	5.6957	35.5825	135.1695	130.0	56179.0	68.0	216.0	47.7498
sub-378141_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.288	0.1088	0.1008	0.0024	0.5427	0.6059	0.6548	0.0	0.0	488.5392	79.4298	29.4014	15.9678	107	97.27272727272727	0.9129	28.1694	5.4475	2.146	5.51	5.63	5.63	3.21	1.62	94.7	668.71	638.11	584.99	105.5463	2.9652	10.7277	6.0	462730.0	3.0	36.0	15.7706	25.8276	48.9259	149.2835	138.0	186230.0	63.0	263.0	72.7195	4.2863	38.5477	139.0065	133.0	56080.0	81.0	219.0	45.4224
