trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0778893	0.00113
0.0063	0.0282	-0.05	0.0014364059743913332	-6.108652381980153e-05	0.0006178465552059926	1.19609392	57.81259155	0.99413164	0.19026695267085636	0.0759732	0.00073
-0.005	-0.0719	-0.0571	-0.0005689773361501514	-0.00041538836197465044	0.0006789330790257941	1.2012471	58.0616684	1.01614161	0.23953858362580677	0.0874166	0.00117
-0.0369	-0.0542	-0.0465	-0.0006510078109938849	-0.0006894050545377602	3.4906585039886588e-06	1.04800951	50.65500641	0.92293979	0.11177447939643244	0.0912371	0.00131
-0.0455	-0.0036	-0.0308	-0.0002583087292951608	-0.0012461650859239514	-5.93411945678072e-05	0.93361503	45.12580872	0.88783194	0.12551454830783557	0.0894495	0.00116
-0.0501	-0.0224	-0.0572	-0.0006126105674500097	-0.0007731808586334879	-0.00016406094968746698	0.94884914	45.86214066	0.88666705	0.09640029102824861	0.0928364	0.00136
-0.0323	-0.0322	-0.0481	-0.0012583823906879114	-0.00042935099599060504	0.000148352986419518	1.02864957	49.71925354	0.91586642	0.10180078109938848	0.0910077	0.0015
-0.0262	-0.0419	-0.0499	-0.0017435839227423352	-0.0002024581932313422	0.0004136430327226561	0.98939812	47.82205582	0.89728461	0.06646921905584124	0.0927474	0.00178
-0.0243	-0.0163	-0.0493	-0.0012793263417118436	-3.490658503988659e-05	0.000307177948351002	0.92320758	44.6227684	0.88208951	0.06501371367968006	0.0895441	0.00128
-0.0047	-0.0244	-0.07	-0.0014887658519511632	0.0003874630939427412	0.0005235987755982988	0.92627364	44.77096558	0.88474616	0.0908115008234622	0.0894607	0.00131
0.0016	-0.0156	-0.033	-0.0015655603390389136	0.0008342673824532895	0.000661479786505851	0.95342427	46.08327866	0.89015419	0.08517398932529255	0.0838372	0.00101
-0.0114	-0.0148	-0.039	-0.002230530784048753	0.0006230825429619757	0.0009040805525330626	0.99757266	48.2171669	0.91666232	0.07573780252641825	0.0908365	0.00187
0.0155	0.0246	-0.0601	-0.0017243853009703976	0.0014154620233674013	0.0013526301702956054	1.01302242	48.96392441	0.92800387	0.17475372906231615	0.0900659	0.00213
0.0073	-0.08	-0.0778	-0.00062482787221397	0.0019495327744776662	0.0007295476273336296	1.05374682	50.93231583	0.98901684	0.2433355361414334	0.0887256	0.00211
0.0081	0.0035	-0.0774	-0.0013142329267517303	0.0023771384412162766	0.0007033676885537148	1.18321836	57.19025803	1.0268652	0.1418595330028143	0.0901229	0.00275
0.0028	-0.0304	-0.0721	-0.0022078415037728267	0.0020594885173533086	0.0006771877497737998	1.14524817	55.3549881	0.97313716	0.10637192198319896	0.0925863	0.00275
-0.0093	-0.0064	-0.0524	-0.0011065387457644049	0.0012758356832078548	0.0005969026041820607	1.08652282	52.51652527	0.9749545	0.1540620368872807	0.0870649	0.00118
0.0232	-0.0231	-0.0398	-0.001281071670963838	0.0016755160819145565	0.000710349005561692	1.04787469	50.64849091	0.94466865	0.09618298626428828	0.0830166	0.00135
0.0357	-0.0489	-0.063	-0.0017208946424664088	0.0018308503853420514	0.0009529497715889039	1.03182793	49.87287903	0.92832923	0.10338790204786388	0.0859256	0.00229
0.0496	-0.0366	-0.0572	-0.0018709929581379211	0.0014381513036433276	0.0009023352232810684	1.04408109	50.46512985	0.92843432	0.06167059728390357	0.0819403	0.00156
0.0552	-0.062	-0.0798	-0.0018483036778619948	0.0008063421144213803	0.0009529497715889039	1.0057584	48.61281967	0.91487678	0.08885565089028545	0.0857465	0.00172
0.0387	-0.0636	-0.0983	-0.000973893722612836	0.0009581857593448868	0.0008011061266653974	0.93582726	45.23273468	0.88415436	0.09550486225480861	0.0854605	0.00154
0.0414	-0.0105	-0.073	-0.00037524578917878077	0.001239183768915974	0.0008168140899333463	0.95912766	46.35894775	0.91237247	0.12586769531365455	0.0761253	0.00059
