trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.02135	0.00341
0.0063	-0.0115	0.031	-0.0001972222054753592	8.203047484373349e-05	-1.5707963267948964e-05	1.07506752	43.25069809	0.99920622	0.06354803217935208	0.0215412	0.00173
0.0077	0.0202	0.0316	-0.00011170107212763708	0.00019547687622336493	-0.00014137166941154068	1.05444694	42.42111969	0.99094246	0.04993156204354726	0.0233635	0.00239
0.0042	-0.0522	0.0008	0.0002617993877991494	0.00011344640137963142	-9.250245035569947e-05	1.10865164	44.60181046	1.02181176	0.13192000769131806	0.0201261	0.0009
0.0019	0.0321	-0.0214	0.00010471975511965978	0.00014137166941154068	-6.9813170079773176e-06	1.27766669	51.40140152	1.11760211	0.12232630170295604	0.0264498	0.00567
0.0215	-0.0651	-0.0585	0.0007557275661135446	0.00022863813201125715	0.0001012290966156711	1.29833674	52.23297119	1.14959041	0.19622423436086253	0.018865	0.00074
0.0175	-0.0653	-0.0436	0.0005288347633542819	0.00011519173063162575	0.00017453292519943296	1.04800117	42.16180038	0.98745195	0.039782151636132794	0.0178405	0.00068
0.0075	-0.0522	-0.0008	0.00033684854563490564	9.075712110370512e-05	9.773843811168246e-05	1.12655497	45.32207489	1.01887025	0.08056076571675236	0.0186151	0.00082
0.0122	-0.0309	0.0014	0.0005759586531581287	0.0002129301687433082	-4.71238898038469e-05	1.0794884	43.42855453	0.99369708	0.053507274153917775	0.0191488	0.0008
0.0128	-0.0192	0.0102	0.0003438298626428829	0.00012217304763960306	2.094395102393195e-05	1.04788756	42.15723038	0.98998514	0.04064768762233649	0.0202679	0.00113
0.0006	-0.0263	0.0362	6.9813170079773176e-06	0.00011170107212763708	-3.839724354387525e-05	1.09285033	43.96611404	1.0056865	0.06563308578573393	0.0217956	0.00145
0.0	0.0042	-0.0027	0.000736528944341607	-8.726646259971648e-05	-0.00026354471705114377	1.10643637	44.5126915	1.02148516	0.1276831317784126	0.0216768	0.00116
-0.0022	-0.0347	0.0052	0.0005951572749300663	-0.00010297442586766544	-0.00023561944901923448	1.07321072	43.17599869	1.00714649	0.05825024503556996	0.0214136	0.00096
-0.0004	-0.0325	0.0253	0.0003106686068549907	-7.330382858376184e-05	-0.00034033920413889426	1.05498374	42.44271469	0.99897238	0.045043951023931945	0.0218621	0.00114
0.0059	-0.0017	-0.0072	0.0007888888219014368	-0.00015184364492350666	-0.00032812189937493397	1.04404914	42.00281143	0.99556005	0.09804886680750755	0.0213972	0.00107
0.0042	-0.0521	-0.0164	0.0006684611035138282	-0.0003211405823669566	-0.00029496064358704166	1.06238961	42.74065781	1.00438874	0.07744429558094755	0.0202398	0.00086
0.0041	-0.055	0.0074	0.0003595378259108319	-0.00028797932657906436	-0.0003385938748868999	1.07290316	43.16362381	1.0058064	0.04608588823453734	0.0211728	0.00111
0.005	-0.0247	-0.0173	0.0007819075048934597	-0.00040317105721069014	-0.0001675516081914556	1.05762374	42.54892349	0.9978656	0.09133018381548488	0.0209392	0.00086
0.0031	-0.0603	-0.0127	0.0006021385919380437	-0.00032463124087094524	-0.000317649923862968	1.07664561	43.3141861	1.00572178	0.06252035224833366	0.019955	0.00083
0.0037	-0.0469	0.0097	0.00020594885173533088	-0.00018151424220741024	-0.00013439035240356338	1.07964206	43.43473816	1.00638774	0.07252831551628262	0.0207803	0.00101
0.0075	-0.0109	-0.0238	0.0009669124056048585	-0.0002495820830351891	-0.00021642082724729686	1.08912039	43.8160553	1.01880886	0.11885309347705197	0.0210966	0.00151
0.0076	-0.0532	-0.0219	0.0008883725892651138	-0.000291469985083053	-0.00023387411976724014	1.18289328	47.58860397	1.06097837	0.0511940505453776	0.0214522	0.00205
0.0086	-0.0373	-0.0106	0.0007033676885537148	-0.0002443460952792061	-0.00027925268031909274	1.16008782	46.6711235	1.04039765	0.04207536755335492	0.0215274	0.00148
0.0109	-0.0334	-0.0264	0.0009983283321407565	-0.00012740903539558605	-0.00017976891295541595	1.0569061	42.52005386	0.99455578	0.047569073541716925	0.0201628	0.00105
0.0143	-0.0571	-0.0224	0.0007906341511534313	-0.00010471975511965978	-7.853981633974481e-05	1.07091808	43.08376694	1.00120796	0.04768062789394613	0.0196378	0.00101
0.0145	-0.0324	-0.0152	0.0006597344572538566	-0.0002199114857512855	-3.839724354387525e-05	1.01734245	40.92838287	0.96909157	0.046411699866353504	0.0208007	0.0013
0.0235	-0.0441	-0.0129	0.000900589894029074	-0.00014660765716752367	0.00010821041362364843	1.07523715	43.25752258	1.00450796	0.04603834612632515	0.0206891	0.0012
0.0171	-0.0668	-0.0566	0.0011484266478122688	-6.108652381980153e-05	6.632251157578452e-05	1.1349268	45.65887833	1.03182951	0.09156228945893904	0.018479	0.00073
0.0127	-0.0686	-0.0261	0.0006736970912698113	-3.4906585039886588e-06	0.0003595378259108319	1.05559993	42.46750641	0.98791525	0.0779770368096659	0.0182117	0.00061
0.0061	-0.064	-0.0174	0.0008970992355250854	-0.00017976891295541595	0.00016231562043547262	1.06389093	42.80105591	0.99963216	0.04974513020910303	0.0193731	0.00066
-0.0053	-0.0594	-0.0494	0.0011693705988362008	-0.0003054326190990077	-6.981317007977319e-05	1.09617126	44.09971619	0.99846441	0.07950319299849763	0.0181288	0.00064
-0.0056	-0.0921	-0.054	0.0007766715171374765	-0.0005480333851262194	9.250245035569947e-05	1.09417319	44.01933289	1.00435187	0.07748077340807041	0.0182571	0.00052
-0.0065	-0.0959	-0.0244	0.00042760566673861073	-0.0004956735075663896	0.00021118483949131387	1.1094979	44.63585663	1.00756068	0.0603054058547155	0.0185897	0.00069
-0.0085	-0.052	-0.033	0.0009686577348568529	-0.0004363323129985824	2.96705972839036e-05	1.10424793	44.42464828	1.01527829	0.09359537524467297	0.0196602	0.00071
-0.0111	-0.0543	-0.0527	0.001186823891356144	-0.0005183627878423159	-4.363323129985824e-05	1.07878363	43.40019989	0.99542904	0.04327502299633933	0.0189568	0.00058
-0.018	-0.1178	-0.0445	0.0005148721293383271	-0.0004799655442984406	1.0471975511965975e-05	1.06378055	42.7966156	0.99671938	0.11682271061867582	0.0182986	0.0006
-0.0057	-0.0811	-0.03	0.0008063421144213803	-0.0004415683007545654	0.0001186823891356144	1.11208785	44.74005127	1.031843	0.08540388211252883	0.0189297	0.00057
