trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0180786	0.0008
0.0131	0.0358	-0.0157	0.0012583823906879114	-0.00017976891295541595	0.0002897246558310587	1.10916781	50.94906998	0.97511742	0.1509937979737193	0.0183411	0.00035
-0.0064	-0.0266	0.0209	0.00016929693744344995	-5.585053606381854e-05	-0.0001012290966156711	1.05593395	48.50379944	0.96107903	0.19869787912913944	0.0178005	0.00032
0.0002	0.0283	-0.0131	0.0008429940287132613	-0.00015184364492350666	0.0003385938748868999	1.01224816	46.49711227	0.94236869	0.15597565858160353	0.018449	0.00031
-0.01	-0.0296	0.0215	2.6179938779914945e-05	-3.4906585039886588e-06	-9.948376736367679e-05	1.07511139	49.3847084	0.95727892	0.17286223593017205	0.0182983	0.00028
0.0013	0.0319	-0.0123	0.000778416846389471	-0.0001308996938995747	0.0002303834612632515	1.04919314	48.19416428	0.95231592	0.16707565858160353	0.0187168	0.00037
-0.0066	-0.0221	0.0317	-0.0003769911184307752	-4.71238898038469e-05	-0.00012042771838760874	1.10348082	50.68783951	0.97463536	0.18539974742834167	0.0191941	0.00038
0.0077	0.0317	-0.0181	0.0008848819307611251	-7.67944870877505e-05	0.0002478367537831948	1.11769938	51.34096527	0.98017808	0.20089040593233037	0.0183738	0.00033
-0.0063	-0.0045	-0.0063	0.0007382742735936014	-0.0001012290966156711	5.4105206811824215e-05	0.97516191	44.79357529	0.92314726	0.08023869068334073	0.0185193	0.0003
0.0039	-0.0365	-0.003	-0.0008709192967451704	-0.00022165681500327985	0.0005654866776461627	1.1241219	51.6359787	1.01675892	0.1575501379780359	0.0204085	0.00041
0.0249	0.0431	0.0217	-0.000609119908946021	-0.00041713369122664475	0.0009826203688728075	1.07554591	49.4046669	0.9755665	0.16902049776245795	0.0199183	0.00037
0.0169	-0.0314	0.0533	-0.0019198621771937623	-0.0003612831551628262	0.0007958701389094143	1.15521204	53.06408691	1.00698356	0.19176715171374767	0.0222776	0.00041
0.0316	0.0296	0.0229	-0.0011938052083641214	-0.000445058959258554	0.001181587903600161	1.10806227	50.89828873	0.98813913	0.16587752688080576	0.0202389	0.0004
0.0223	0.0199	0.0455	-0.0012688543661998775	-0.00041189770347066176	0.0009878563566287904	1.09827113	50.44853592	0.95730441	0.05669709802975096	0.0210384	0.00039
0.0153	0.0058	0.0376	-0.001553343034274953	-0.00030194196059501896	0.0009128071987930344	1.08452678	49.81719589	0.95658114	0.05247467843932371	0.0222582	0.0005
0.0181	0.036	0.045	-0.0012863076587198209	-0.0004014257279586958	0.001069886831472524	1.08431315	49.80738449	0.95113788	0.06657993877991494	0.0219921	0.00039
0.0104	0.0126	0.0701	-0.0022741640153486112	-0.00031415926535897925	0.0008552113334772215	1.06630349	48.9801178	0.95399685	0.12068991586119047	0.0229074	0.00043
0.0215	0.0525	0.0404	-0.001553343034274953	-0.00047123889803846896	0.0012042771838760874	0.98271424	45.14048767	0.93379732	0.1420483232076007	0.0214972	0.0004
0.0086	0.0044	0.0857	-0.002804744107954888	-0.0003630284844148205	0.000890117918517108	1.12980008	51.89680099	0.98804948	0.18998853763312812	0.0233365	0.00048
0.0159	0.0488	0.0348	-0.0018517943363659836	-0.00045553093477052	0.0011728612573401894	1.08200192	49.70121765	0.97484327	0.16900977803838427	0.0211869	0.00038
0.0072	0.0218	0.0799	-0.0026616271092913526	-0.00034033920413889426	0.0009773843811168245	1.06895292	49.1018219	0.96921066	0.136825068989018	0.0234355	0.00045
0.0189	0.0248	0.029	-0.002007128639793479	-0.0003874630939427412	0.0011990411961201044	1.01686776	46.70931244	0.94989944	0.11176395871525004	0.0215132	0.00048
-0.012	-0.0215	0.0387	-0.0022270401255447643	-8.901179185171081e-05	0.000598647933434055	1.1253314	51.69153595	0.97206759	0.14283780252641823	0.0220832	0.00053
0.0174	0.0292	0.0079	-0.000926769832808989	-0.0001291543646475804	0.0006527531402458793	1.09240556	50.17910385	0.98091523	0.18062590361717343	0.0190626	0.00038
0.0132	-0.0178	0.058	-0.0023003439541285265	-0.00015533430342749534	0.00046425758103049166	1.06245434	48.80331039	0.98260296	0.180712480965742	0.0218705	0.00083
0.0366	-0.0038	-0.0074	-0.002305579941884509	-0.0004468042885105483	0.0004904375198104066	1.16430163	53.48161316	1.06838653	0.11894429558094752	0.0260726	0.00304
0.0372	-0.0192	-0.0001	-0.0015550883635269475	-0.0002722713633111154	0.0006475171524898963	1.15623677	53.11116028	0.98925981	0.0774052068118242	0.0255719	0.0024
-0.0018	-0.0457	0.0048	-0.0016842427281745281	-4.71238898038469e-05	0.00024609142453120044	1.1318903	51.99281693	1.00611401	0.10818637830567723	0.0232703	0.00141
-0.0057	0.0559	0.0036	-0.0009704030641088471	-0.00016231562043547262	0.00045553093477052	1.10541892	50.77686691	1.00063285	0.1586235452468313	0.0213092	0.00135
-0.0136	-0.0305	0.0067	-0.0017872171540421933	-1.2217304763960308e-05	0.0003159045946109737	1.08017707	49.61739349	0.9906674	0.15272693728822026	0.0214644	0.00109
0.0123	0.0224	-0.0028	-0.0008552113334772215	-0.00020943951023931956	0.0005480333851262194	1.09330451	50.22039795	0.97546409	0.15636784082777885	0.0203826	0.00089
-0.0037	-0.0201	0.0192	-0.0019861846887695473	9.948376736367679e-05	0.00034033920413889426	1.11898196	51.39987946	0.9787315	0.16287954069413235	0.0231892	0.0012
0.0085	-0.0025	-0.0026	-0.0014329153158873448	-6.632251157578452e-05	0.0005096361415823442	1.06346285	48.84963608	0.96313816	0.09601862946325568	0.0219256	0.00099
0.0034	-0.0293	0.0002	-0.0016057029118347831	-2.6179938779914945e-05	0.0004799655442984406	0.97391248	44.73618317	0.93112883	0.046830038301360566	0.0219283	0.00094
0.0106	0.0257	0.0019	-0.0009023352232810684	-0.00013264502315156904	0.0006003932626860494	1.12293887	51.58163834	0.97793741	0.11041302456564887	0.0208451	0.00105
