trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.127173	0.01581
-0.0009	-0.0315	0.0328	-0.0007190756518216638	-3.490658503988659e-05	-3.839724354387525e-05	1.04165685	46.97496796	0.94658913	0.1048189740202713	0.120775	0.012
-0.0021	0.0307	0.012	-0.0002600540585471551	-5.235987755982989e-05	-8.726646259971648e-05	0.99901342	45.05190277	0.94156352	0.11046720524251467	0.120808	0.01328
-0.0049	-0.0182	0.054	-0.0016231562043547262	-0.00015009831567151235	-0.00020769418098732522	1.02923226	46.41466522	0.96330652	0.17276341511534307	0.113385	0.00894
-0.0112	0.0449	0.1179	-0.0028152160834668534	-0.00017104226669544429	-0.0003647738136668148	1.07270885	48.37530136	1.01125679	0.20180417314077745	0.0973044	0.00458
-0.0225	0.0513	0.1216	-0.002898991887562581	-0.00018500490071139895	-0.0006562437987498679	1.03115416	46.50133514	0.9630222	0.040860421159736746	0.0952376	0.00379
-0.0137	0.0494	0.1431	-0.0031293753488258326	-8.37758040957278e-05	-0.00043458698374658803	0.99473292	44.85886765	0.93385489	0.05986346864411016	0.0909437	0.003
-0.0065	0.0783	0.1167	-0.002726204291615143	1.2217304763960308e-05	-0.0002844886680750757	1.00116849	45.149086	0.9442553	0.0949631240870945	0.0957856	0.00389
-0.0187	0.032	0.1423	-0.0028815385950426383	-0.0001832595714594046	-0.0005026548245743669	1.02998257	46.44849777	0.95067454	0.11254886680750759	0.0918667	0.0028
-0.024	0.0602	0.1089	-0.002267182698340634	-0.00014311699866353502	-0.0005096361415823442	1.05565119	47.60606384	0.9438623	0.09997398932529257	0.0985603	0.00429
-0.0288	0.0434	0.1521	-0.002806489437206882	-5.759586531581287e-05	-0.000710349005561692	1.09374869	49.32412338	0.95841637	0.1060770368096659	0.0912982	0.00286
-0.038	0.067	0.1201	-0.0023544491609403502	-6.108652381980153e-05	-0.0007819075048934597	1.02335155	46.14946365	0.93657997	0.09115447170511441	0.0970607	0.00379
-0.0433	0.0467	0.159	-0.0028693212902786776	-0.000153588974175501	-0.000905825881785057	0.98472857	44.40770721	0.93836111	0.10106464782928122	0.0890398	0.00236
-0.0588	0.0833	0.1148	-0.0022724186860966175	-0.0004206243497306334	-0.0010576695267085637	0.99072176	44.67797852	0.95352143	0.14708908123303496	0.0961072	0.00355
-0.0723	0.029	0.1456	-0.002802998778702893	-0.0005375614096142535	-0.0012356931104119853	1.06483173	48.02006912	0.97183717	0.13987703680966587	0.0923197	0.00257
-0.0895	0.0644	0.1115	-0.0019861846887695473	-0.0006597344572538566	-0.0014451326206513049	1.02726483	46.32593918	0.94667054	0.14412133239061345	0.0980052	0.00373
-0.0989	0.0409	0.1519	-0.0026389378290154262	-0.0006387905062299246	-0.0015812683023068625	0.96377432	43.46274567	0.9171066	0.11379163864626844	0.0886475	0.0022
-0.0946	0.0725	0.1267	-0.002384119758224254	-0.0005427973973702365	-0.0016318828506146981	0.99603343	44.9175148	0.92593179	0.08117128639793478	0.0927122	0.00283
-0.0983	0.0461	0.1849	-0.003420845333908886	-0.0004677482395344803	-0.0017383479349863521	1.0666517	48.10214615	0.98257318	0.14921199089460208	0.0824363	0.00117
-0.0878	0.0756	0.1486	-0.002754129559647052	-0.00042760566673861073	-0.0016807520696705393	1.0255065	46.24664307	0.95642696	0.1145227106186758	0.088129	0.00203
-0.0943	0.0348	0.1938	-0.0037402405870238476	-0.00037524578917878077	-0.0016179202165987434	0.99908686	45.05521393	0.94012354	0.14756513790042103	0.0838568	0.00139
-0.0955	0.0848	0.1739	-0.0030246555937061734	-0.00038571776469074686	-0.0017051866791984597	1.00323057	45.24208069	0.94304082	0.11176617157146784	0.0840542	0.00142
-0.1051	0.0246	0.2118	-0.003480186528476693	-0.0004625122517784973	-0.0016493361431346415	0.9949258	44.86756516	0.94118025	0.1371087978961044	0.0803292	0.0011
-0.0943	0.0873	0.1665	-0.0025481807079117207	-0.00035430183815484887	-0.0016336281798666925	0.99298191	44.77990341	0.93492854	0.17159620987282848	0.0855138	0.00157
-0.1032	0.0401	0.2109	-0.003413864016900908	-0.00041189770347066176	-0.001778490507782222	0.99862397	45.0343399	0.93512234	0.15390707511102647	0.078363	0.00081
-0.0938	0.0788	0.1761	-0.002590068609959585	-0.00032463124087094524	-0.001780235837034216	0.95614845	43.11884689	0.91078203	0.12854035993965168	0.0819618	0.00131
-0.0963	0.0448	0.2228	-0.0034714598822167216	-0.0003717551306747922	-0.0017889624832941875	1.01288676	45.67753983	0.92901642	0.13006209041604774	0.0745115	0.00065
-0.101	0.0887	0.1865	-0.0029775317039023265	-0.0005044001538263612	-0.0019058995431778078	0.99688101	44.95573807	0.92563926	0.1220755130674792	0.0780358	0.00103
-0.1126	0.0421	0.2381	-0.003778637830567723	-0.0006824237375297829	-0.0019949113350295183	1.00805473	45.45963287	0.93038074	0.16320707511102645	0.0712703	0.00057
-0.1087	0.0738	0.2086	-0.0033684854563490563	-0.0006736970912698113	-0.0020280725908174107	0.94411504	42.57618332	0.91138268	0.08770201381332654	0.0743288	0.00074
-0.108	0.0621	0.2315	-0.003757693879543791	-0.0006911503837897545	-0.0019303341527057286	0.95515734	43.07415009	0.92194599	0.06052000769131802	0.0715273	0.00066
-0.1121	0.0724	0.2354	-0.0040334559013588955	-0.0006161012259539982	-0.002012364627549462	0.97529799	43.98242188	0.93489758	0.03994208272472971	0.0692419	0.00053
-0.1162	0.0856	0.2409	-0.004141666314982544	-0.0007225663103256524	-0.001980948701013564	0.94591123	42.6571846	0.91827651	0.03510457122656001	0.0679555	0.00052
-0.1144	0.0726	0.2464	-0.003937462792499207	-0.0005183627878423159	-0.002129301687433082	0.93905181	42.3478508	0.91141641	0.04813800156930956	0.0678082	0.00046
-0.0977	0.0922	0.2626	-0.004070107815650777	-0.0005166174585903216	-0.0017278759594743865	0.961528	43.36144638	0.91937182	0.07929080401811299	0.0646203	0.00045
-0.0908	0.0902	0.2607	-0.0037943457938356727	-0.000439822971502571	-0.0017540558982543013	0.97335231	43.89468002	0.9216343	0.02973682238413848	0.0639355	0.00041
-0.0905	0.0937	0.2622	-0.0039671333897831115	-0.00040317105721069014	-0.0016807520696705393	0.94720799	42.71566391	0.90895391	0.01943716694115409	0.0643386	0.00048
-0.0843	0.0948	0.2596	-0.0037751471720637348	-0.000291469985083053	-0.0016790067404185449	0.99926358	45.06318283	0.92435614	0.025171630954950397	0.065131	0.00048
-0.0915	0.0959	0.2652	-0.003467969223712733	-0.0004537856055185257	-0.001621410875102732	0.95090693	42.88247299	0.9069985	0.04025447170511438	0.0649764	0.00049
-0.0897	0.1009	0.2594	-0.003593632929856324	-0.0003298672286269283	-0.0017435839227423352	0.98813635	44.56138611	0.92291726	0.031187756533739563	0.0651646	0.0004
-0.0874	0.0992	0.2818	-0.0038030724400956446	-0.0003595378259108319	-0.0018151424220741027	0.95276606	42.96631241	0.91349028	0.04193343034274956	0.0621813	0.00044
-0.0816	0.1117	0.2836	-0.0036896260387160127	-0.0003525565089028545	-0.001839577031602023	0.94024318	42.401577	0.90954091	0.027343116395776502	0.0613018	0.00031
-0.0888	0.1006	0.2861	-0.003862413634663451	-0.0004520402762665313	-0.0018238690683340744	0.93622112	42.22019577	0.90259608	0.03519896632895319	0.0619738	0.00041
-0.0939	0.1154	0.3001	-0.004092797095926702	-0.0005044001538263612	-0.0019373154697137059	1.00078773	45.13191605	0.92666829	0.053709487010135566	0.0581632	0.00031
-0.0936	0.1244	0.2689	-0.003661700770684103	-0.0005183627878423159	-0.0018500490071139892	0.98700047	44.51016235	0.9221214	0.06711627109291352	0.06278	0.00041
-0.0954	0.106	0.3081	-0.004082325120414737	-0.0005864306286700947	-0.0018465583486100008	1.04967213	47.33642578	0.94425192	0.08400914245312006	0.0573993	0.00031
-0.088	0.0988	0.299	-0.0042324234360862495	-0.0006632251157578452	-0.0015585790220309364	1.0309633	46.49272919	0.93555024	0.04944360646691638	0.0592036	0.00029
-0.0861	0.1098	0.3171	-0.004471533543609472	-0.0007452555906015787	-0.0016772614111665507	1.01279509	45.67340469	0.93172871	0.05299114857512853	0.0548342	0.00019
-0.0873	0.1212	0.3364	-0.004876449930072156	-0.0007923794804054256	-0.0017366026057343581	0.96578139	43.55325699	0.92285099	0.0574690735417169	0.0507884	0.00019
-0.0794	0.1276	0.3535	-0.005152211951887261	-0.0008255407361933179	-0.0017051866791984597	1.01320553	45.69191742	0.94774983	0.04841696020694479	0.0476674	0.00015
-0.0872	0.1439	0.349	-0.005044001538263612	-0.0008360127117052838	-0.0016301375213627037	1.01794171	45.9054985	0.94357603	0.038286577348568565	0.0491668	0.00026
-0.0927	0.1161	0.3776	-0.00558330827712986	-0.0007068583470577034	-0.0018291050560900572	1.04891884	47.3024559	0.95854837	0.10527143191205914	0.0466846	0.00021
-0.0942	0.1228	0.3655	-0.005420992656694387	-0.000635299847725936	-0.001780235837034216	0.98790002	44.55072784	0.92840877	0.03443716694115412	0.0484091	0.00022
-0.0943	0.1181	0.3583	-0.00544193660771832	-0.0004677482395344803	-0.0018552849948699724	0.99145544	44.71106339	0.92350847	0.02517723585255724	0.0499977	0.00018
-0.1035	0.1061	0.3985	-0.006007423285364482	-0.0005201081170943102	-0.002118829711921116	0.98973441	44.63345337	0.92322237	0.10546956361285678	0.0462766	0.00022
-0.0984	0.1529	0.3872	-0.005461135229490257	-0.000609119908946021	-0.002087413785385218	0.99218857	44.74412537	0.92388286	0.09653578871309168	0.0453143	0.00024
-0.0906	0.13	0.3822	-0.005501277802286126	-0.0006440264939859076	-0.0018709929581379211	0.96092921	43.33444214	0.90586911	0.05027349925415263	0.0464408	0.00022
-0.0958	0.1305	0.3954	-0.005605997557405786	-0.0005759586531581287	-0.002097885760897184	0.97727686	44.0716629	0.91723425	0.03888401993533508	0.0446316	0.00019
-0.0797	0.1502	0.3686	-0.005218534463463045	-0.0006283185307179585	-0.0020315632493213996	0.94208735	42.48474121	0.90145767	0.08790727415391775	0.0468013	0.00017
-0.081	0.1189	0.424	-0.005923647481268755	-0.0007627088831215222	-0.0019687313962496035	0.93174005	42.018116	0.90751857	0.13311676116405347	0.0414073	0.00019
-0.0711	0.1576	0.3659	-0.005037020221255636	-0.0008080874436733745	-0.0017976891295541592	1.0361644	46.72727966	0.94824253	0.16185240436302076	0.0473965	0.00027
-0.0872	0.1078	0.4166	-0.005932374127528725	-0.0007906341511534313	-0.0019442967867216831	1.04177439	46.98026657	0.9542573	0.16957074279802783	0.0436223	0.00021
-0.0854	0.1389	0.3662	-0.005164429256651221	-0.0006736970912698113	-0.002078687139125246	0.98821843	44.56508636	0.93049528	0.13426361415823435	0.0475154	0.00026
-0.0887	0.1179	0.4423	-0.006003932626860492	-0.000731292956585624	-0.0020751964806212577	0.95055521	42.86661148	0.91787032	0.1454294947014536	0.0396826	0.00019
-0.0844	0.152	0.3882	-0.005174901232163186	-0.0006178465552059926	-0.0021170843826691216	0.96435231	43.48881149	0.91465041	0.1417182849062401	0.0443994	0.00018
-0.0924	0.1167	0.4456	-0.005813691738393112	-0.0007749261878854823	-0.0022410027595607188	0.96872789	43.68613434	0.91636719	0.1466894257900506	0.0398878	0.00019
-0.0856	0.1529	0.3972	-0.004925319149127998	-0.0006736970912698113	-0.0021205750411731105	1.03416002	46.6368866	0.94233569	0.14690147021341965	0.0428029	0.00023
-0.0913	0.134	0.4246	-0.0056985000077614855	-0.0008063421144213803	-0.002186897552748895	1.09422183	49.34545898	0.96282851	0.10060741966804204	0.0389689	0.00012
-0.0827	0.151	0.4169	-0.005375614096142535	-0.000726056968829641	-0.0022078415037728267	1.03137577	46.51132965	0.9458625	0.05450575041173106	0.0390834	0.00013
-0.089	0.1511	0.4071	-0.005174901232163186	-0.0006841690667817771	-0.002139773662945048	1.03790987	46.80599213	0.95005983	0.031733430342749544	0.0416333	0.00011
-0.0919	0.1368	0.4326	-0.005429719302954359	-0.0007208209810736582	-0.002234021442552742	0.98534125	44.43533707	0.9225846	0.06198588823453736	0.039157	0.00013
-0.094	0.1449	0.4012	-0.004838052686528281	-0.000752236907609556	-0.0022497294058206906	0.95343888	42.99665451	0.90611074	0.0735395253114962	0.0424283	0.00015
-0.0952	0.1293	0.4309	-0.005232497097479001	-0.0007120943348136865	-0.0022933626371205488	0.93697673	42.25427246	0.90066272	0.07041101075232237	0.0395105	0.0001
-0.0973	0.1441	0.4088	-0.004975933697435834	-0.0007679448708775049	-0.0022602013813326567	0.96873772	43.68657684	0.91219025	0.056278759594743856	0.0416433	0.00023
-0.1114	0.1338	0.4411	-0.005347688828110626	-0.0007225663103256524	-0.0024678955623199817	0.98659158	44.49172211	0.91867759	0.08794139361069847	0.0384582	0.00017
-0.1109	0.1541	0.4118	-0.004790928796724435	-0.000731292956585624	-0.0025080381351158514	1.01427507	45.74014664	0.93192165	0.08038146252210157	0.0417515	0.00018
-0.1043	0.1458	0.4697	-0.005384340742402506	-0.0008587019919812101	-0.0025202554398798117	0.98456699	44.40042114	0.9186047	0.10945191429188084	0.0364078	0.00016
-0.1071	0.1635	0.4257	-0.004735078260660616	-0.0007609635538695277	-0.002494075501099897	0.93440604	42.13834381	0.89903059	0.10315904293167436	0.0409705	0.0002
